Year,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,JAN_FEB,MAR_MAY,JUN_SEP,OCT_DEC
1971,74.3,471,1613.7,839.6,226.3,648.7,2023.5,165.4,55.3,416.8,1551.3,291.6,96,572.9,2141.5,270.5,49.7,547.4,2274.4,355.4,44.8,301.1,1559,194.9,39.6,161,1164.2,232.1,67.7,181.2,1539,110.8,31.9,178,1082.2,140.5,27.3,101.3,1106.3,76.3,23.4,59.2,830,90.6,153.9,384.5,1163.6,101.9,35.9,67.4,520.5,13.1,47.2,57.6,633.5,9.6,129.6,143.1,973.7,28.6,140.2,155.9,417.1,51.5,3.8,25.1,220.4,2.2,3.5,34.3,732.4,14.2,7.3,21.8,1060.8,45.8,42.9,55,1309.9,110.9,0.1,5.3,758.8,5,0,85.4,2627.2,41.3,0,47.1,670.1,56,0.3,40.2,458.9,108.4,16.5,60.3,696.6,108.9,45.1,129,1265.4,94.3,27.4,205.1,613.5,187.2,14.8,51,495.4,167.9,8.3,99.8,285,227.9,30.4,154.2,370.9,492.2,0.1,292.2,2878.4,64.6,0.9,93.5,385.9,131.8,1.1,217.5,642,203.5,50.1,450.6,2254.6,321.5,16.1,302,1273.4,309.9,43.19428571,194.7571429,1131.231429,157.3861111
1972,15.3,605.9,1844,857.7,94.2,454.8,1177.7,486.6,57.6,698.9,1515.3,107.3,50.7,347,898.7,57.5,51,473.9,1789.7,100,45.8,45.6,1179.9,61.8,22,44.8,1133.8,124.4,55.1,12.5,852.1,76.3,51,9.2,584.7,73,33.1,5.1,588.9,39.7,30.3,8,528.3,18.5,122,102.6,809.6,43.6,18.9,17.4,360.6,44,40.9,17.4,375.1,37.5,132,158.4,445.5,106.4,198.7,372.9,364.5,209.6,1.9,3.8,178.7,1.5,4.8,2,440.9,6.6,3.8,2.1,749.3,15.1,10.9,2.7,958.3,66.5,2,1.9,499.7,0.2,0.1,11.3,1826.2,35.4,0.2,17.8,472.8,29,0,3.2,307.6,36.3,1.1,7.1,679,53.5,19.3,22.6,1067.7,89.3,32.5,52.8,518.8,424.4,14.6,24.9,511.9,119.4,3.9,103,300.4,418.7,5.2,166.2,322.3,599.8,0.5,170.5,2439.8,246.1,2.4,66.8,347.3,83,0,124.4,786.5,175.7,10.2,526,1596.8,606.4,1.1,92.7,871,322.8,32.37428571,136.4628571,837.8114286,160.3777778
1973,38.5,478.7,1587.8,886.1,121.8,608,1416.7,273.1,92.6,605.5,1742.6,231.4,62.7,493.5,1183.8,365.8,49.7,448,2005.1,301.8,10.2,227.8,1245.7,251.5,7.3,109.7,1185.4,271,25.8,87.4,1068.5,259.4,33.1,73.1,916.3,166.5,30,18.7,797,110,20.2,10.5,722.4,52.8,138.7,94.5,948.9,57.6,21,36.7,440.8,28.6,58.4,51.2,581.5,51.9,197.3,124.1,567.1,66.6,217.5,254.4,555.2,73.4,0.9,10.9,440.8,2.2,6.5,13.5,919.5,8.6,5.3,2.9,1362.5,36.2,30.3,2.3,1130.5,89.2,0.9,1.4,1150.2,7.1,0.4,3.2,2726.1,106.7,3,15.1,853.4,109.1,0.7,4.5,765.8,100.3,6.7,4,986.4,165.3,13.8,12.7,1215.5,225.3,0.4,58.3,542.9,257.5,0,13.7,800.4,228.4,0,31.8,423.6,234,0.5,82.9,373.7,401.4,0,98.3,2842,185.7,0,40,492.1,218.7,0.1,152,754.5,144.9,0.3,263.8,1749.2,399.2,6.1,137,1055.6,358.7,34.30571429,133.4314286,1072.842857,186.8333333
1974,66,672,1378.7,845.3,204.6,1187.3,1950.2,432.2,43,703.8,2356.3,300.4,11.3,478.1,1590.3,249.9,21.6,644.2,2489.4,186.3,3.6,207.5,1114.6,144.9,1.3,84.3,790.4,111.1,3.1,79.5,966.6,77.9,4.6,70.9,1127.7,32,3.7,12.1,813,53.4,0.9,8.7,601.5,57.7,84.8,52.5,929.4,95.1,1.8,7,346.1,29.9,5.1,11.3,323.4,16.3,119.6,100,480.2,76.3,218.7,186.5,305.5,91.9,0,24,132.8,7.5,0,18.7,512.9,80.2,0.8,15.7,768.5,91.6,7,5.6,876.9,81.6,0,51.9,329.3,40.1,0.7,80.7,2766.7,238.6,0.1,78.1,681.6,152.1,0.4,39.3,476.8,134.1,4.8,14.3,653.7,168,6.6,13.1,822.6,108.6,1.6,59.1,573.8,310.5,0,41.7,521,267.6,0,69.6,435.3,223.6,9.4,96.6,361.9,184.8,0,199.4,3044.1,190,0,112.8,527,177.5,7.3,129.4,962.2,235.3,7,365.6,2188.2,206.6,16.8,208.1,1193.2,93.2,24.46285714,175.1257143,1011.194286,160.8916667
1975,304.4,395.2,1589.1,797,119.3,712.6,1417.4,281.6,32.3,567.9,1473.9,196.5,25.7,425.3,1407.1,351.5,50.2,350.4,2080.8,182.2,28.6,114.5,1138.9,184.2,19.5,58.1,1161.4,153,30.6,66.1,1162.1,102.6,13.2,57.5,946.7,51.7,21.1,21.9,1142.2,40.3,21.2,10.3,935.3,22.6,145.8,107.1,1305.5,21.9,23.2,15.3,563,20.6,41.4,24.7,634.5,5.3,262.5,186.8,587.9,16.8,165.8,362,632.2,20.3,1.3,3.6,522.2,26.7,1.7,3.9,849.6,42.7,4.6,4.2,1004.6,51.2,23.1,14.6,1302.5,94.2,0,0.9,1143.6,48.2,0.1,14.6,3287.8,212.9,1.5,16.4,859.7,163.1,10.5,18.6,907.8,114,26,14.5,1190.6,93,17.2,23.8,1292.7,141.7,10.7,36.4,796.5,348.7,23.4,32.6,949.2,210.6,0.9,55.5,513.4,471.8,10.3,136.3,445,332,0.3,118,3919.1,262.6,9.3,72.5,667.2,344.8,0.1,95.3,503.1,162.6,26.6,349.3,2529.3,593.1,9.3,393.5,1175.9,311.8,42.33428571,139.4342857,1201.08,179.8277778
1976,30.6,713.5,1698.2,833.7,129,507.2,1619.2,518.3,42.1,411.5,1407.8,94.6,54.7,588.6,1909,99.2,59.7,443.6,2140.8,149.8,32.8,201.3,922.6,83.8,10.1,94.3,1002.5,72,23.1,90.6,1062,16,14.7,90,1033.4,23.7,9.5,29.4,879.5,5.2,13.4,16.2,620,3.6,71.1,93.8,814.6,6.8,31.8,41.9,651.8,1.1,82.8,44.6,662.2,5,172.2,205.7,765,36.4,253.1,230.4,481.6,58.7,9,12.6,390.4,13.3,15.1,13.7,736.1,50.4,8,15.6,954,50.1,15.9,30.9,995.3,13.5,3.2,0.2,1558.8,57.9,0,6.6,2965.1,91.3,0.1,12.7,927.7,85.4,0.2,13.5,563.7,45.6,2.2,20.7,912.1,39.6,4.5,29.6,1335.6,9.7,1.1,62.3,598.5,428.4,0.2,37.3,958,40.1,0.9,26.3,444.5,345.3,1.4,92.3,326.1,439.1,0,64.2,2670.6,199.1,0,51.7,436.1,73.6,1.3,201.8,697.1,307.4,1.6,231.3,1297.1,538.8,10.3,159.3,970.6,361.9,31.59142857,139.5771429,1068.788571,144.4
1977,122.9,288.3,1492.9,484.1,195.9,868.9,1957.1,193.3,25.2,841.1,1505.2,245.2,49.1,715.1,1389.9,204.4,22.6,621.3,1912.7,349.8,35.9,273.6,1361,170.1,9.9,181.1,1129.1,157.8,27.3,154.2,1240.7,99.3,8.1,101.9,865,172.5,14.1,40.8,777.1,82.2,18.7,42.8,887.5,45.3,54.7,170.8,1109.6,81.1,51.6,47.2,623.1,18.3,38.2,80,566.4,28,90.2,197.6,859.3,97.9,171.5,235.2,418.4,130,8.7,16.7,362.6,1.4,13.1,25.3,845.8,3.2,7.8,18.2,927.4,49.4,14.9,19.7,1204.4,133.2,4,15.8,1278.3,9.6,0,12.3,2935,156,0.2,48.3,716.5,182.3,1.5,15.9,547.4,202.8,2.1,27.6,926.1,112.2,9,54.9,1334.6,67,1.5,166.1,551.2,413.9,0,52.6,661.5,94.5,0.8,95.2,377.4,393.2,26.2,160,353,706.9,1.9,144.2,2853.6,379.3,1.2,120.4,521.2,207.1,7.5,147.3,857.9,219,16.8,436.9,1788.5,805.4,39.6,300.9,1014.1,493.6,31.22,192.52,1090.042857,199.7027778
1978,138.9,425.9,1775.9,371.6,229.2,737.6,1667.4,156.7,13.2,399,1478.2,121.6,4.7,648.6,1405.5,92,32.6,499.2,1711.1,134.8,22.6,216.5,1467.9,165.5,35,111.5,1180.8,111.7,61.4,107.5,1254,133.2,41.1,93,1005.2,151.4,55,47.8,995.9,17.6,37.7,66.1,1127.9,12.5,117.7,290.2,1558.5,65,25,57.4,563.4,5.3,34.2,69.7,605.8,10.9,166.3,242.5,873.9,88.4,123.2,354.5,492.3,91.6,11.7,9.7,345.6,12.6,10.5,6.6,691.7,18.3,19.3,9.5,927.8,46.8,95.8,35.8,1191.8,69.3,1.1,2.3,894.2,38.2,0,95,2671.8,118.8,11.4,59.9,689.7,122.6,24.5,40.7,613.3,106.3,37.7,30.5,1103.4,77.7,17.9,35.4,1281.5,35.6,27.1,60.6,812.5,138.1,49.8,49.5,1130.8,81.7,9.1,64.1,481.3,314.8,12.6,102,300.2,584.1,0.8,263.4,3387.2,211.5,13.7,112.9,633,145.2,29.5,84.4,809.6,197.2,18,502.1,2081.1,575.6,6.7,354.2,1201.6,404.9,43.85714286,179.5885714,1154.622857,139.6972222
1979,44.9,215,1242.5,347,106.8,727.9,1746.4,198.3,12,357.7,1542.6,276.3,9.6,287.1,1314.4,138.1,34.9,257.7,1862.9,356.3,43.3,58.7,975.9,79.9,21.5,50.9,862.2,61.2,61.1,31.6,724.3,65.8,42.9,29.8,805.2,124,58.2,21.1,555.5,61.7,93.7,42.8,393.7,27.8,119,153.5,747.5,52.3,68.7,44.1,215.9,12.7,97.8,74.8,276.5,14.9,285.2,274.4,390.7,70.7,164,434,342.3,137.1,28.4,34,226.1,19.7,32.4,20.1,398.5,64.1,56.5,18.1,600.7,106.6,93,14.2,633.9,68.8,5.6,0.4,794.1,104.3,0.7,0.4,2404,104.1,5.3,13.4,873.2,134.9,15.3,25.2,658.1,109.1,90.1,15,930.2,51.8,45.4,9.4,808.8,41,30.7,140.4,534.6,228.3,32.7,62.5,634,62.5,22.6,103.6,356.8,330.4,44.2,62.9,398.7,597.5,1,24,2556,242.4,15,70.5,727.3,150.4,0,185.2,857.1,182.7,32.4,181.3,1840.5,448.8,16.2,48.5,1166.8,593.9,52.31714286,116.8628571,897.0828571,157.3722222
1980,6.3,776.5,1946.3,896.3,236.5,870.7,1980.6,247.4,49.3,559.6,1537.1,143.2,49.6,708.8,1377.3,169.3,56.4,507.8,2430.4,154.1,38.1,192.7,1131.2,159.1,20,124.8,1223.3,94.8,28.5,98.1,1137.8,76.1,7.1,98.4,1115.9,30.8,7.1,24.7,1426,30.7,9.2,21.9,917.9,35.6,77.4,97.3,1097.2,61.6,8,31.2,434.3,39.7,31.7,29.3,531.6,69.1,170.4,126.4,765.3,93,255.7,234.4,395.3,132.4,0.5,12.1,206.8,19,1.2,5.4,522.7,18.1,1.1,1.6,837.2,34,13.5,5.9,1313.7,36,0.1,0.1,803.1,18.7,0,6.4,2645.8,72.1,0,26.1,852.5,60.9,0.1,11.6,776.1,25.1,18.6,4.3,993.1,26.6,7.7,30.6,1431.2,26,2.9,53.2,691.5,267.2,0,29.1,869.9,23.6,0,37.7,311.1,224.8,0.1,130.4,243,335.5,0,136.5,3455.2,170.3,0.1,73.2,572.5,45.9,1.9,140,880.2,162.5,0.9,240.9,2077.5,484.1,18,156.3,703.2,334.2,31.94285714,160.1142857,1132.394286,133.8277778
1981,38.9,366.7,1908,761.2,140.8,1004.9,1853,279.3,60.3,494.6,1431.8,92.7,53,750.9,1214.2,54.2,71.8,537.1,2295.9,64.6,77.6,426.5,1316.7,88.2,39.4,197.8,1032.7,25.7,74.2,156,914.5,22.5,37,148.4,1168.1,11,23.3,45.8,1025.7,15.4,24.3,37.5,650,27.9,95.4,182.3,1016.7,61.7,39,53.2,358.4,42.9,68.7,65.5,318.5,51,210.8,283.4,563.3,89.6,277.3,392.8,405.3,60.1,7.9,16.6,187.3,36.8,5.2,12.6,563.5,34,4.7,20.9,806.3,58.2,14.7,41.1,954.9,25.4,1.3,1,1040.6,71.4,0.6,4.3,3036.1,83.7,10.5,18.2,827.1,74,28,25.2,635.1,98.2,21.2,41.6,1122.7,33.2,22.3,40.3,1129.9,23.7,16,108.9,694.5,109.8,10.3,77.9,1010,45.3,7.9,70.3,487.1,219.9,10.1,132.6,466.3,436.8,0.7,76.9,3591,179.9,6.2,62,724.6,84.5,0.1,119.5,735.8,148.1,13.8,270.8,2274.4,446.9,22.2,231.5,1085.1,278.6,43.87142857,186.16,1109.86,117.6777778
1982,11.6,333.3,1575.8,463.8,135,948.2,1992.2,190.7,32.9,520.4,1720.6,108.3,54.9,401.7,1496.3,74.5,10.1,347.1,1895.7,84.8,38.2,195.2,830.4,47.1,37.8,170.1,1010.7,39.8,32,141.5,841.5,70.2,10.5,73.9,784.6,64.6,44.6,96.3,933.8,35.9,38.8,126.2,769.4,34.7,120.5,298.5,900.4,52.7,41.4,161.1,284.9,19.2,63.5,194.6,276.9,36.3,335,527.6,420.4,140,230.9,455.8,299.4,216.2,15.4,81.3,202.9,12.2,21,55.8,520.4,63.1,49.6,14.1,784.7,85.6,99.4,32.8,1114.9,50.2,0.5,48.5,606.2,103.1,0,14.5,2572.6,111.7,2.3,40.3,608.4,101,10.6,28.8,526.5,70.6,56.3,26.5,708,65.3,46.2,59,1005.6,86.7,2.1,92.7,529.5,264.2,5.8,63.6,747.8,116.1,0.9,49.2,287.2,258.2,0.3,92.5,240.1,345.7,0.3,91.1,3798.2,201.2,0.1,74.4,479.3,127.6,0,83,870.3,157.8,0.8,230.6,1689.2,302.7,2,107.8,1023.5,258.7,44.32285714,179.3714286,981.38,123.9027778
1983,22.1,253,1892.4,624.9,109.5,559.8,1599.1,227.2,54.2,534.1,1844.2,187.6,68.4,951.1,1343,225.4,83.7,458.3,2147.6,149.1,48.2,223.7,1009.4,182.3,56.9,137.3,1130.1,107.7,37.4,137.6,961.2,125.5,14.8,134.1,871.3,84,21.6,71.5,981.9,129.9,33.5,99,994.4,64.7,126.4,326.1,1008.3,64.5,43.2,124.3,568.2,8.7,92,188.8,456.3,13.9,189.3,385.5,551.6,63.2,216,635.4,558.2,75.6,3.6,75.5,380.1,10.1,5.2,61.3,696.7,32,5.4,27.7,982.5,56.3,22.9,18.4,1165.2,69,0.1,9.4,1124.7,79.8,0,0.7,3698.6,115.2,1.5,2.9,865.8,48.5,0,6.6,1066.3,114.6,8.9,10.1,1150.7,70.6,25.1,50.3,1228.3,68.1,17.4,69.6,858.5,250.6,4.2,43.9,1255.4,194,1,63.2,630.3,248.6,0.4,94.2,437.3,475.7,0,24.4,3701.5,216.4,0,24.8,669.7,83.5,10,159.1,742.4,152.4,1.7,89.9,1906.9,321.8,1.4,113.7,1086.8,201.3,37.88571429,176.1514286,1187.568571,142.8527778
1984,243.2,345.2,1280.7,951.2,76.2,730.4,2461.9,164.8,29.7,647.4,2292.5,187.5,19.2,869.2,1407.3,158.3,40.6,530,1982.1,195.7,21.7,129.8,1568.4,111.8,16,84.1,1221.8,55.7,59.6,46.7,1373.2,50.5,62.5,78.1,1265.8,19.9,47.5,21.6,984.4,23.3,52.2,8.3,719.6,1.1,148.5,84,1070.6,35.9,16.4,3.8,457.8,1.1,69.6,24.5,610.7,5.7,158.8,122,613.3,74.2,214.8,271,553.9,117.7,2.8,1.2,198.9,0.2,1.5,0.5,561.1,0.1,21.3,0.1,825.2,13,91.3,5.3,997.6,16.4,0,0,846.3,7.3,0.2,1.2,2460.4,121.8,11.8,8.9,643.7,115.5,12.6,1.2,424.1,114.9,45.5,3.9,683.9,77.2,47.7,40.5,1113.6,52.9,15.5,49.5,585.9,134.3,15.5,19.7,614.4,93.3,87.5,51,340,254.7,165.9,168.7,382.4,306.8,10.3,104.9,3004.6,239.2,4.3,28.5,470.7,114.6,4.2,108.6,644,102.5,96.8,342,1951.6,371.7,186,208.5,798.4,398.7,59.92,146.8657143,1068.88,130.2638889
1985,31.2,357.2,1557,685.4,169.2,1065.4,2457,463.6,41,755.7,1895.1,109.9,42.6,627.5,1364.2,70.9,32.8,471.2,2277.3,256.6,32.9,132.4,1109.1,139,59.2,74,1297.2,176.9,28.3,58.6,998.3,155.1,9.3,77.7,1171.7,196.3,20.8,13.1,970.5,171.6,7.5,14.7,776,159,63.9,118.4,1173.8,297.6,3.8,12.3,489.4,66.9,5.7,31,620.4,95.8,93.4,156.1,726.1,218.3,103.9,220.4,559.4,283.5,0.4,20.4,169.3,7.3,1,10.5,480.3,96.4,2.1,8.9,705.9,157.8,48.9,9.1,960.2,97.2,0,2.9,462.4,124.3,0,23.7,2737.5,207.3,2.8,23.8,516.8,112.7,7.1,24.3,455.8,88.2,23.7,18,712.3,123,42.6,21,1096.8,77.2,43.1,26.6,571.6,326.3,5.7,33.9,636.1,110.3,17.7,29.8,336.4,301.9,94.9,89.3,481.2,398.1,5.3,91.4,2621.3,297.8,2.9,61.8,339.8,96.8,23.1,81.8,743.4,181.8,67.3,350,1650.4,322.8,6.4,221.4,887.6,188,32.58571429,152.4085714,1028.788571,190.6
1986,15.4,312.3,1473.6,386.5,224.5,721.2,1956.8,379.1,28.1,470.6,1726.6,367.5,16.1,434.1,1422.8,469.3,7.1,282.4,1838.9,237,15.9,201.7,1244.8,328.5,61.6,129.1,1125.2,244.1,28.1,103.7,1006.6,197.2,15,110.8,1048.6,147.6,43.5,32.4,784.4,75,61.3,39.5,584.3,30.1,72.2,305.9,997.1,139.3,38.2,52.1,339.3,21.4,42.8,75.7,456.7,36.7,126.6,363.7,626.6,205.6,131.8,471.1,548.9,369.2,10.9,28.7,164,0.6,25.1,26.1,532.2,6.7,50,8,871.3,7.8,110.6,32.9,829.4,56.2,0,2.1,497.1,2.6,0,1.1,2056.3,70.3,4.3,11.2,585.7,42.8,19.2,11.4,503.6,28.8,52.2,17.1,1029.6,58.2,69,30.2,1149.5,119.9,58.4,72.9,638.4,239.9,89.7,32.5,822.8,62.3,83.3,26.2,276.3,195.2,104.4,99.7,387.7,361,0.4,32,2685,217.1,18.4,62.8,444.1,95.2,0.3,77.9,542.3,314.2,24.3,200.9,1498.4,369.6,15.4,133.9,990.7,325.9,47.54571429,143.2542857,962.4457143,172.4555556
1987,107.6,200.9,1434.5,1021,167.2,805.1,2369.5,262.3,36.5,506.9,2170.6,207.3,20.8,408.8,1679.4,252.3,38.1,380.6,2609.8,157.1,8.9,187.2,1309.9,85.5,14.1,104,791.6,187.9,15.9,86.1,1174.1,56.6,4.3,83.1,1515.1,57.9,17.5,31.3,693.7,82.2,28.4,44.2,356.1,38.1,91.5,227.1,631.1,37.5,49.1,81.3,178.7,9.5,54,136.4,181.5,37.6,152.7,424.2,369.6,89.1,195.1,509.5,372.5,139,7.2,41.5,90.7,3.6,15.8,22.4,355.4,42.1,38.9,7.7,658.9,78.5,82.6,16.2,915.4,101.9,0.9,0.4,375.2,25.4,0,9.6,2429.1,196.3,5.6,43.1,587.5,171.4,11.5,23.7,553.4,197.6,30.4,18.1,643,131.1,18.5,32.4,969.7,122.2,21.1,93.9,442.2,522.8,16.2,58.3,689.8,212.5,5.1,48.5,328.3,387.6,9.2,99.2,306.4,548.6,0,65.4,2329,321.8,1.4,47.5,483.1,215.5,3.1,168.2,794.6,56.4,1.4,169.7,1347.2,619.2,3.4,89.4,886.8,309,36.4,150.6257143,943.5257143,194.0111111
1988,50.1,538.1,1810.5,924.3,110.9,727.7,2303.9,291.9,53.4,808.9,2151,248.5,34,695.6,1712.4,378.2,31.4,436.5,2573.6,99.9,24.6,208.1,1308.4,140.4,49.5,137.7,1055.1,64.6,40.2,89.5,981.1,42.9,16.4,120.3,1151.6,49,13.4,48.8,949.7,73.2,14.9,40.7,956,24,99.7,208.1,1213.4,81.2,14.7,41.5,776.7,12.1,27.5,93.3,1067.2,34.6,169.8,420.4,1160.3,130.6,233.6,366.9,964.4,106,1.3,10.6,264.7,3.8,3.3,12.9,612.8,11.1,4.1,12,875,60.1,24.7,14.3,1008.3,22.1,0,2.5,1083.7,11.2,0,5.6,3220.6,66.9,0.1,26.5,915.6,34.3,0,11.7,1128.6,29.7,8.6,20.6,1188.5,91.1,25.8,37.7,1113.6,29.2,16.7,110.3,928.9,109,6.5,31.1,1447.2,60.1,1.1,99.9,606.5,134.8,4,181.1,429.7,222.4,0.2,60.5,3269.5,136.4,2.9,74.3,681.4,36.9,0.1,89.8,715.7,107.9,18.3,372.9,1845.7,166.6,7.8,197.7,1127.9,117.4,31.70285714,181.5457143,1274.262857,115.3444444
1989,68.8,490,1424.1,550.7,162.1,620.3,1702.7,221.8,62,473.8,1929.5,216.8,27.8,363.2,1607.6,360.4,62.6,462.2,2182.5,147.2,5.3,185.1,1308.3,127.5,0.1,99.2,1170.2,30.2,2.2,69.3,1009.5,67.9,17.5,107.4,1101.7,43.2,18.8,16.6,911.3,23.2,25.7,17,596.1,18.4,105.7,68.7,1021.4,67.9,40.5,14.6,343.6,17.8,49.8,24.2,376.2,30.1,173.5,221.2,663,119.6,153.1,387.7,517.1,158.1,8.6,2.4,236.2,0.9,6.9,2.7,500,1,2.5,12.5,738.1,5.4,0.4,21.9,872.2,26.5,1.3,0.1,819.9,1.5,0,5.6,2681.5,84.4,0,31.4,759.1,26,0,51.5,989.8,27.1,0,25.6,925.1,46.9,0.1,20.4,1126.5,40.2,0.2,76.6,883,70.3,0,45.9,1087.6,27.4,0,51.5,469.1,173,2.7,122.2,389.2,342.4,0,84.4,2960.9,170.3,0,60.8,569,46.3,4.2,135.3,531.3,177.7,10.3,341.1,1664.7,406.5,20.6,204.1,1244.6,245.1,29.52285714,140.4714286,1066.074286,114.4361111
1990,13.6,536.8,1108,525.1,221.1,673.3,2203.7,250.8,66.1,734.4,1750.2,220.5,32.7,787.2,1452,310.4,113.6,596.6,2726,129.1,64.4,346,1325.4,225.6,50.3,325.2,1152.3,377.2,48.7,128.2,1084.8,142.6,30.6,111.1,1047.8,49.9,42.6,53.6,990.6,19.3,67.5,39.7,826.4,24.5,97.9,193.3,1185.8,87.8,79.5,28.9,558.7,36,59.7,50.7,602,42.2,197.4,332,767,166.3,316.7,436.9,511.5,308.9,25.2,19.2,396.1,4.4,27.5,20.6,720,11.9,10,31.8,1068.7,33.6,31.9,36.4,1266.9,44.9,3.3,33.2,1057.3,24.6,0,194,3163.2,210.8,2.8,78.4,767.3,174.1,2.9,142.1,822.2,231,10.4,83.9,1258.4,152.4,19,138.9,1331.5,154.4,91.4,616.4,591.5,311.9,8.3,196.1,1028.6,192.7,7.6,163.8,396,363.3,95,155.3,268.7,384.2,1.7,348.4,3460.2,310.1,4.8,135.1,460.1,119,1.1,175.3,792.2,252.6,19.7,548.3,1638,487.2,39.2,212.5,738,320.8,54.40571429,248.6742857,1157.631429,186.1138889
1991,18,352.2,1689.3,476.2,120.8,830.3,1154.4,181.9,43.9,733.6,1783.8,276.7,69.4,937,1467.2,378.3,65.7,432.3,2474.4,99.9,39.2,142.2,1219,208.7,22.8,87.7,1228.6,133.7,27.3,76,1082.2,65.5,20.7,48,950.5,26.5,19.5,15.9,818.7,21.1,21.8,13.1,684.3,29.6,71.2,124.8,774.6,50.1,19.7,22.2,330.5,21.4,39.9,61.7,346.3,28,167.1,294.8,595.6,47.4,287.8,502.7,591.6,66.7,4.2,20.7,152.4,1.8,2.7,14.4,550.1,11.4,3.7,5.9,728.5,7.4,11.3,22,973.4,10.2,0,0,672,0.7,0,21.2,2912.1,21.4,0.1,31.8,823,25.7,0.7,19.5,560.7,20,8,12.2,795.3,23.2,12.2,17.5,1136.2,54.9,22.8,49,760.9,289.3,25.8,65,686.2,72.2,11.5,64.9,468.9,422.3,28.9,76.6,368.5,480.9,0.1,143.9,3417.5,158.1,0.2,108.4,552.9,58.5,0.4,107.5,832.9,260.2,15.3,243.6,2515.6,410,12.3,99,1144.9,326.8,34.71428571,165.6457143,1064.085714,132.4083333
1992,86.8,246.8,1436.2,328.8,100.5,647.1,2155.2,166,61.1,468.8,1578.5,151.4,71.5,369.2,1503.6,277.1,56.7,363.4,1798.8,140,63.5,152.1,1128.3,70.7,23,83.8,1149.1,73.6,8.3,61.2,839.2,24.3,5.8,63.8,673.8,54.2,17.7,15.5,719,111.2,23.9,12.1,708.3,76.3,103.8,80.5,909.4,14.5,36.7,9.6,372.3,11.1,73,22.7,365.7,16.8,199.7,320.1,832.2,31.1,253.2,392.2,746.1,86.6,17,7.5,394.9,6.4,9.4,13.8,649,51.4,0.2,6,683.1,64.9,0.1,8,1035.1,8,0.8,0.9,877.7,21.7,0,6.2,2752.4,81.8,0,7.3,718.2,65.7,0,10.2,640.6,75.7,0.6,9,1090.8,48.2,0.4,7.8,1137.5,10.9,17.4,54.6,637.1,291.8,4.8,33.9,731.8,93.1,7.7,58.6,293.2,236.6,3.3,80.8,361.4,473.2,0,94.2,3412.6,375.4,0,60.9,414.1,193.3,0.5,95.5,648.9,293.2,3.4,261.6,2392.5,582.1,4.1,131.4,1178,221.4,35.85428571,121.6314286,1056.131429,134.125
