Year,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,JAN_FEB,MAR_MAY,JUN_SEP,OCT_DEC
1961,181.5,1094.5,1857.3,805,145.7,587.2,3896.1,330.3,31.2,732.6,1261.7,169.8,47,482.4,1250.5,121.3,50.4,338.1,1780.8,135,86.8,111.6,990.1,101.9,132.1,78.9,1542.1,192.2,93.2,35.6,1270.2,161.5,47.5,37.3,926.3,246.9,50.3,8.3,939.6,216,77.7,9.8,956.9,153.9,260,85.6,1409.4,193.3,70.2,16,500.1,41.6,91.2,21.8,545.4,31.7,311,207.1,876.3,121,161.2,217.2,642.7,117.1,17.7,12.2,365.5,4.9,18.9,5.6,829.8,29.9,23.9,8.2,1263.5,138.2,40.3,18,1453.7,86.8,0.6,0.6,927.6,16.2,5.2,184.5,3480.1,251.3,0.4,114.5,815.2,140.4,1,48,664.9,245,6.7,31.2,1253.1,149.7,46.6,32,1779.5,115.9,37.9,55.7,692.5,333.2,6.9,60.6,864.1,215,10.4,44.9,387.7,208.5,88.6,98,405.7,318.3,0,683.6,4536.9,333.4,0.6,140.6,456.9,150.6,8.3,205.4,794.2,299.3,45,606,3229.3,377.6,107.7,452.4,1334.5,340.7,65.82,196.1714286,1319.434286,191.4833333
1962,167.3,374.1,1671.9,746.4,158.1,665,1244.7,129,52.5,521.1,1587.3,135,37.8,301.9,1352.4,130.4,54.7,390.3,1996.4,80.3,21.9,140.9,869.7,141.1,13.4,89.8,1072.2,171.2,23.2,61.9,897.9,64.8,20.8,69.1,1012.4,75.7,45.6,17.2,1001.4,7.7,52.6,18.1,719.7,7.8,165.8,117.4,1292.8,71.5,31.5,10.5,459.6,9.4,53.8,52.1,641.5,22,147.9,240.9,888.6,116.1,117.4,202.5,482.3,128.1,1,12.3,247,2.3,2.6,8.6,583.4,9.5,11.6,20.3,845.5,28.6,36,40.4,937.9,54.1,0,5,756.2,11.8,0.2,130.3,3196.8,157.9,0.3,76.8,698.3,123.6,3.4,84,728.9,129.4,10.2,73.1,966,103.3,19.6,62.3,988.1,54.7,12.3,105.1,819.6,408.5,25.3,69.4,908.7,135.4,5.9,127.7,352.5,330.3,33.6,176.2,345.9,385.9,3.6,391.1,3207.7,415.3,5,114.3,532.6,187.2,3.9,142.7,631.1,215.1,83.1,607.1,2101.6,584,11.1,412.7,842.3,320.5,40.94285714,169.4914286,1053.74,158.1638889
1963,106.7,336.8,1953.5,584.7,113.8,456.5,1515.1,124.2,11.2,522.8,1797.1,180.7,4.6,508.4,2075.9,381.1,2.7,459.7,1965.1,177.2,2.7,170.9,974.4,141.5,7,146.1,1198.1,210.8,10.6,100.8,963.4,240.1,5.1,105.9,1058.6,156.6,17.1,38,906.7,34.5,18.5,18.4,877.2,15.6,52.8,231.6,1422.5,95,7.2,10.4,488.9,15.4,14.9,50,390,21.3,71.3,297.9,854,131.3,36.4,523.1,193.1,156.5,0.7,10.5,153,10.3,1.9,5.7,544.7,25.4,11.6,9.4,824.8,59.5,20.7,32.5,1030.1,36.8,1.4,1.6,935.3,59.5,0.1,8.8,3494.3,103.6,5.1,49.3,732.3,113.2,6.2,36.1,863.8,95.1,10.9,47.2,1008,81.8,5.8,82,1156.7,92.7,0,80.7,571.4,371.8,0.3,48.5,870.1,91.2,7.4,74.6,404.4,222.7,81,140.7,346.8,504.3,1.8,153,2764.7,251.8,11,147.2,445.4,179.6,0.1,75.2,890.3,203.7,55,323.2,1848.5,424.4,239.6,283.7,971.7,407.1,26.94857143,159.6342857,1099.711429,166.6944444
1964,87.4,551.8,1745.9,669.8,58.8,408.5,1121.2,80,32.2,646.4,1824.8,226.2,41.1,651.7,1297.4,338.4,1.2,321,2504.7,154.5,13.8,161.1,971.6,132,30,94,1138.3,92.3,14.3,77.4,983.2,75.4,4.7,83.6,965.1,69.1,8.2,47.3,953.6,27.6,3.1,22.6,962.9,13.4,162.2,218.6,1356.2,32.6,6.2,15.9,682.1,6.7,16.7,28.2,654.3,9.6,235.5,268.2,809.1,41.4,186.9,272,423.5,63.9,0.9,14.6,321.2,0.7,0,30.7,614.5,1.2,0.1,10,866,4.1,8.3,6,1150.6,22.4,0.1,4,888.1,0.5,0,6.1,3009.4,177.3,0,17.3,844,84.3,0.2,7.9,737.5,35.1,2,4.8,960.2,43.7,23,14.9,1358,113.3,11.9,40.6,867,141.5,0.2,8.3,830.1,48.9,0,13.9,584.5,193.1,2.7,83.8,399.1,424.9,0,31.8,2837.8,271,0.8,35.8,727.6,135.6,1.2,71.3,597.5,65.1,8.8,245.2,2079.8,535.2,6,109.8,1300.2,235.7,27.67142857,132.1457143,1124.771429,126.8472222
1965,42.2,368.5,1774.3,978.8,95.7,560.7,1385.9,96.8,78.7,537.7,1626.7,155.7,63.4,264.7,1479.1,223.7,22.1,350.1,2318.2,72.3,34.2,124.5,1024.5,80.5,27.8,134.7,926.2,85.9,9.5,72.8,889.7,40.4,1.7,30.4,944.3,26.3,2.8,32,601.1,49.6,18.4,42.2,586.9,26,204,225.4,828.6,47.7,17.7,36.3,316.7,11.3,37,70.9,300,15.3,261.6,441.4,460.4,57,200.4,433.1,194.7,84.4,4.9,13,193.9,3.5,8.8,8.3,399,7.8,5.5,4.2,568.5,16.5,5.4,28.4,643.5,20.5,7.4,2.2,643.6,3.5,3.4,5.8,2967.6,94.8,6.1,22.9,718.7,43,7,10.3,597.4,16.7,23.6,21.9,696.2,1.9,10.2,45.1,881.2,4.9,2.6,79.2,583.9,88.6,3.5,13.9,761.3,0.1,1.2,61.2,403.9,129.7,9,114.8,351.4,446.6,2.5,49.4,2574.2,205,1.3,31.7,566.4,33.5,5.2,118.1,617.8,269.8,10,352.6,1508.9,470.9,7.5,205.8,724.9,467.7,35.49428571,140.4057143,915.9885714,121.575
1966,83.9,427.6,1372.1,817.6,29.2,363.1,1392.7,92.8,43.6,524.1,2053.9,167.7,17.7,315.4,1832.6,313,37.1,286.2,2069.1,123,37.5,66.8,888.5,125.9,53.5,66.8,1013.4,153.2,28.5,32.8,758.7,59.8,28.1,40.4,661.5,37,22.3,8.6,632.5,44.4,19,21.5,695.6,19.9,89.8,143.5,1168.9,63.6,37.3,53.7,609,7.8,39.1,59.6,527.5,11.9,145.3,251.2,888.9,85.6,200.9,417.6,650.9,109.5,11.5,13.2,226,2.2,2.8,12.8,454,3.9,4.9,5.1,641.5,28.5,17,10.1,777,45,0.2,0.6,694.6,1.2,0,64.8,2206.4,156.3,2.4,85,641.7,108.3,18.9,66.7,569.2,92.3,17.2,49.1,870.1,66.4,20.9,37.6,969.8,58.8,41.3,36.3,643.1,234,19.8,13.2,831.9,106.1,6.3,54.9,464.2,378.7,17.6,97.1,437.5,614.7,3.7,208.6,2278.2,486.2,13.7,98.9,455.8,155.2,5.7,108.3,701.8,124.6,9.9,330.3,1593.3,688.2,21.5,45.5,1182.9,491.6,32.80285714,126.2,967.28,168.7472222
1967,186.2,609.7,1796.4,624.1,128,379.7,1320.2,145.5,48.8,505.4,1452.9,116.3,85,573.1,1374.9,196.8,2.4,397.8,2312.6,147.7,55.8,163.2,1074.4,55,71.4,154.3,1171,30.8,9.6,107.8,1074.6,33.2,0.2,92.8,894.8,12,2.2,47.8,945,34.4,0.6,39.4,1048.6,68.5,46.1,161.7,1224,124.3,2.4,57.3,689.7,90.5,13.3,87.8,485.6,93.6,129.9,260.9,994.5,173.2,131.5,299.5,466.3,194,0,63.2,248.5,28.7,0,61.3,658.5,40.1,0,35.3,825.4,84.9,0.2,56.5,1258.3,92.9,0,42.7,873.8,22.1,0,16,2612,124.2,0.1,25.8,783.4,103.7,0,10.8,610.1,138.9,0.5,59,937.9,130.9,1.7,124.5,1279,67.2,13.1,110.1,635.9,84,0.3,72.3,810.6,58.8,16.8,93.4,379.9,247.6,29.9,107.2,295.9,466.1,2,105.3,2937.8,136.8,1.2,78.8,475.6,90.1,8,127.8,739.2,126,14.4,339.6,1937.3,277.8,10.5,148.3,978.6,149.9,28.91714286,160.46,1074.377143,128.0722222
1968,23.4,383.3,1803.3,552.8,123.8,391.3,1359.3,310.2,42.7,681.3,1666.8,140,38.1,476.9,1497.4,97.6,31,362.4,2583.3,402.1,13.3,55.7,1374.3,154.3,63.1,92.9,1070.3,237.8,43.9,32.2,1141.8,75.5,30.8,27.3,963.7,118.2,34.3,8.8,761.8,35.2,30.2,10.4,635.5,17.2,296,126.9,1002.4,53.3,30,19.6,329.6,9.1,55.2,36.4,424.6,20,302.6,176.6,573.8,115.2,189.7,206.8,515.5,153.6,9.1,9.9,122.4,0.7,10.1,11,493.4,5.1,11.2,11.1,824.4,14.5,47.8,13.4,890.4,22,0.4,1.4,655.9,10.3,0.3,7.6,2212.4,139,5.2,23.2,719.6,76,29.6,44.1,587.5,51.1,38.5,52.7,799.7,32,51.7,40.2,1011.7,64.4,23.1,84.4,451.3,280,31.5,58.5,560,98.7,2.6,70.1,287,264.2,10.2,169.3,304.3,305.6,2,69.1,3138.3,251.5,17.7,76.1,504.8,128.7,0,142,710.6,253.9,37.8,312.5,2711.4,331,10.5,92.6,1120.5,120.8,48.21142857,125.0857143,1023.114286,137.2666667
1969,171,352.7,1539.1,556.3,153.5,639.3,1357.9,130.7,29.2,532.4,1660.3,110.2,22.4,387.9,3050.2,149.5,14.4,396,1934.6,79.9,9.9,190.1,1134.9,69.3,1.7,112.1,1082.3,87.1,10.2,125.8,976,46.1,14.5,94.8,1140.1,39.2,5.4,47.2,952,20,8.8,31.4,822.2,15.8,122.9,186.7,1299.6,26.5,8.3,34.3,433.7,1,35.9,53.6,400.5,4.9,144.6,314.1,656.6,12.3,220.9,393.9,411.3,69.5,2.2,4.8,110.8,1.1,4.6,8.5,618.8,2.2,6.1,1.1,1063.7,46.1,11.1,11.6,1186.3,33.2,0.3,0,778.3,10.4,0,3.5,3061.8,62.1,0.2,11.3,929.5,43.2,0,3,768.8,52.9,1.5,14.3,951.1,26.1,7.6,65.6,1067,32.5,0.7,270.8,540,468.2,2.2,64.3,833.9,146.7,0,61.2,355.3,425.9,8.7,92.6,267.8,592.7,0,95.8,2989.6,257.5,0,59.5,521.2,148.4,6.7,183.4,645,238.7,9.1,364,1870.6,421.3,34.1,301.2,595.8,485,30.53428571,157.3942857,1085.902857,136.4583333
1970,106.2,488.7,1738.2,1037.7,283.5,554,1385.5,234.4,82.8,787.9,1913.5,264.3,352.1,579.6,2841.3,543.2,31.4,332.9,2273.9,64.1,25.9,111.1,1300.7,210.9,32.1,140.2,1170.5,69.5,40.9,66.1,1116,68.5,35.5,60.2,944,35,72.6,40.8,967.5,51.4,82.3,24.8,739.7,16.9,129.9,107.3,1025.3,31.1,70.8,20.9,445.7,0.8,60.7,20.3,565.3,4.2,155.4,88.6,831.4,7.1,96.2,167.5,331,62.2,22.9,6.4,326.2,0.2,32,7.6,674.2,4.6,32,21,1053.4,6.8,90,50.1,1198.5,3.6,1.1,5.4,1341.4,5.8,0,76,3434.6,86,1,57.6,811.8,70.9,8.4,40.6,842.1,19.9,17,40,1174.1,9.6,24,87,1370.6,19.9,10.6,136,733.4,184.1,7.6,72.8,863,26.8,14.3,91.9,497.6,172.6,34,156.5,341.3,410.3,0,293.3,3562.2,186.5,0.6,109.1,585.3,95.7,7.3,141.1,721.7,150,30.5,447.7,1860.7,364.6,25,211,1320,227,57.61714286,161.2,1208.617143,131.8388889
