Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVERAGE
1967,3216.4,1973.4,2123.4,2229.9,2860.5,1348.4,1427.5,1225.3,999.9,1029.4,1157.2,1556.2,839.9,680.4,1558.5,1091.3,340.3,759.9,945.6,1407.8,938.7,2752.3,913,759.8,1128.4,1472.5,843.1,942.1,737.6,899.1,3181.8,645.7,940.3,2569.1,1287.3,1393.771429
1968,2762.8,2184.5,2530.8,2110,3378.8,1597.7,1464.1,1293.4,1140.1,840,693.3,1478.6,388.3,536.2,1168.2,1065.6,142.2,519.6,861.2,973.6,668,2359.4,824,712.4,922.9,1168,838.9,748.7,623.9,789.4,3461,727.3,1001,3392.7,1344.4,1334.6
1969,2619,2281.3,2332.2,3610,2424.9,1404,1283.2,1158.1,1288.6,1024.6,878.1,1635.7,477.2,494.8,1127.6,1095.6,119,634.1,1117,1242.1,789,3127.4,984.1,824.6,992.9,1172.6,1279.7,1047.1,842.4,961.8,3342.9,729.1,1106.5,2665,1416.1,1415.094286
1970,3370.8,2457.5,3048.4,4316.2,2702.3,1648.5,1412.3,1291.5,1074.7,1132.3,863.8,1293.5,538.2,650.6,1082.5,657,355.7,718.4,1113.2,1342.2,1353.8,3596.6,941.4,910.9,1240.6,1501.5,1064.2,970.3,776.4,942.1,4042,790.8,1073.8,2703.5,1783,1564.585714
1971,2998.6,3063.9,2315.1,3080.7,3226.8,2099.8,1596.8,1898.6,1432.6,1311.1,1003.1,1803.8,636.8,748,1275.1,764.7,251.5,784.4,1135.7,1518.7,769.2,2754,773.2,607.9,882.4,1533.8,1033.2,729.1,621.1,1047.6,3235.2,612.1,1020.2,3076.8,1901.4,1529.8
1972,3323,2213.3,2379.1,1353.8,2414.6,1333.2,1324.9,996.1,717.9,666.9,585.1,1077.8,440.8,470.9,842.3,1145.6,185.9,454.3,770.3,1038.3,503.8,1873,519.9,347.1,740.8,1198.9,1028.5,670.7,826,1093.4,2856.9,499.4,1064,2739.4,1287.6,1170.957143
1973,2991.1,2419.5,2672.1,2105.8,2804.6,1735.2,1573.5,1441,1189,955.7,805.9,1239.7,527.2,743.1,955.2,1100.5,454.8,948.2,1406.9,1252.3,1159.6,2836.3,980.6,871.3,1162.4,1467.3,859.1,1042.5,689.5,858.5,3126,750.8,1086.6,2412.5,1557.4,1433.762857
1974,2962,3774.3,3403.5,2329.6,3341.6,1470.7,987,1127,1235.2,882.2,668.9,1161.8,384.9,356.2,776.1,802.6,164.3,611.8,876.6,971.1,421.3,3086.7,911.8,650.6,840.8,951,944.9,830.4,728.5,652.8,3433.5,817.3,1051.5,2767.4,1511.3,1368.205714
1975,3085.7,2531,2270.6,2209.7,2663.6,1466.2,1392,1361.3,1069.1,1225.5,989.5,1580.3,622.1,705.9,1054.1,1180.4,553.8,897.9,1064.6,1434.5,1192.7,3515.4,1040.7,1050.9,1324.1,1475.5,1192.4,1215.8,1041.6,923.6,4300,1093.7,1334.3,3498.4,1890.5,1584.211429
1976,3276,2773.6,1956,2651.4,2793.9,1240.6,1178.8,1191.8,1161.7,923.5,653.2,986.3,726.7,794.7,1179.3,1023.7,425.2,815.3,1027.7,1055.6,1620.1,3063,1025.8,623,974.6,1379.3,1090.3,1035.6,817,858.9,2933.9,561.3,761.2,2068.8,1502.1,1375.711429
1977,2388.2,3215.3,2616.6,2358.5,2906.5,1840.6,1477.9,1521.5,1147.5,914.1,994.3,1416.3,740.1,712.6,1245,955,389.4,887.5,1002.7,1372.2,1307.7,3103.3,947.2,767.7,1068,1465.5,1132.8,808.6,866.6,1246,3379,849.9,1207.8,3047.6,1848.2,1518.505714
1978,2712.4,2790.9,2011.9,2150.8,2377.8,1872.5,1439,1556.1,1290.8,1116.3,1244.2,2031.4,651.1,720.6,1371.2,1061.6,379.7,727.1,1003.3,1392.6,935.8,2885.6,883.6,784.8,1249.4,1370.4,1038.3,1311.7,869.3,998.8,3862.9,904.9,1231.6,3176.7,1967.4,1524.928571
1979,1849.4,2779.5,2188.5,1749.2,2511.7,1157.9,995.9,882.8,1001.9,696.5,558,1072.3,341.5,464,1021,1077.4,308.2,515.1,781.9,809.8,904.5,2509.2,1026.8,807.6,1087.2,904.6,934.1,791.7,813.4,1103.4,2823.4,963.2,1120.8,2503,1825.4,1225.165714
1980,3625.3,3335.3,2289.2,2305,3148.6,1521,1462.9,1340.6,1252.2,1488.5,984.7,1333.5,513.2,661.7,1155,1017.9,238.4,547.5,873.9,1369.2,822,2724.3,939.5,812.9,1042.6,1495.4,1014.8,922.6,573.7,709.1,3762,691.7,1225,2803.4,1211.7,1463.265714
1981,3074.8,3278,2079.3,2072.2,2969.3,1909,1295.7,1167.2,1364.7,1110.1,739.6,1356.1,493.4,503.7,1147.1,1135.5,248.5,615.3,890.2,1036,1114.2,3124.7,929.8,786.6,1218.6,1216.2,929.3,1143.5,785.2,1045.9,3848.6,877.3,1184.6,3005.9,1617.4,1466.1
1982,2384.5,3266.2,2382.2,2027.5,2337.7,1111,1258.5,1085.3,933.5,1110.6,969.1,1372.1,506.6,571.3,1423,1202.2,311.8,660.2,934.1,1297.3,758.3,2698.9,751.9,636.5,856.1,1197.4,888.5,933.2,595.6,678.6,4090.9,681.4,1003.5,2223.3,1392,1329.451429
1983,2792.4,2495.6,2620,2588,2838.8,1463.6,1432,1261.7,1104.2,1204.8,1191.7,1525.3,744.5,751.1,1189.6,1485.2,469.3,795.3,1071.9,1275.5,1213.9,3814.5,918.8,1187.6,1240.4,1371.9,1196,1497.5,943,1007.7,3942.2,777.9,1111.2,2320.3,1403.2,1549.902857
1984,2820.3,3433.2,3157,2454,2748.4,1831.7,1377.6,1529.9,1426.2,1076.7,781.3,1339.1,479.2,710.5,968.3,1157.4,203.2,563.3,859.5,1110.6,853.6,2583.6,779.9,552.7,810.6,1254.7,785.2,742.8,733,1023.8,3359,618.1,1063.9,2762.1,1591.6,1415.485714
1985,2630.8,4155.3,2801.6,2105.3,3037.9,1413.4,1607.3,1240.3,1455,1175.9,957.2,1653.7,572.4,752.9,1193.9,1167.1,197.4,588.1,874.7,1115.4,589.7,2968.5,656.1,575.4,876.9,1237.5,967.6,785.9,685.8,1063.5,3015.7,501.2,859.3,2390.5,1303.4,1404.931429
1986,2187.8,3281.6,2592.8,2342.3,2365.4,1791,1560,1335.6,1322.1,935.3,715.2,1514.5,450.9,611.9,1322.6,1521,204.2,590.1,937.1,1029.2,501.8,2127.7,644.1,562.9,1157,1368.6,1009.7,1007.3,580.9,953,2934.5,620.4,1030.2,2093.2,1465.9,1333.365714
1987,2764,3604,2921.4,2361.3,3185.5,1591.5,1097.6,1332.7,1660.4,824.7,466.8,987.3,318.6,409.6,1035.6,1216,143,435.7,783.9,1116.1,401.9,2635,807.6,786.2,822.6,1142.8,1079.9,976.9,769.5,963.5,2716.2,747.4,934.7,2137.6,1288.6,1327.602857
1988,3323,3434.4,3261.7,2820.2,3141.4,1681.5,1306.9,1153.7,1337.4,1085.1,1035.6,1602.4,845,1222.6,1881.1,1670.9,280.4,640.1,951.2,1069.4,1097.4,3293,976.6,1170,1308.7,1206.3,1164.8,1544.9,842.3,837.2,3466.6,795.4,1022.2,2403.5,1450.8,1609.248571
1989,2533.6,2707,2682.1,2359,2854.6,1626.3,1299.7,1149,1269.9,969.9,657.3,1263.8,416.5,480.3,1177.2,1216,248.1,510.5,758.5,920.9,822.8,2771.5,816.6,1068.3,997.7,1187.2,1030,1161,693.7,856.5,3215.6,676.2,913.5,2422.7,1714.4,1355.654286
1990,2183.4,3348.9,2771.2,2582.3,3565.3,1961.3,1905,1404.2,1239.4,1106.1,958,1564.9,703.1,754.7,1462.7,1574,445,780.1,1144,1380,1118.4,3568,1022.5,1198.1,1505,1643.8,1611.1,1425.7,930.7,903.2,4120.4,719,848.5,2693.1,1310.5,1641.474286
1991,2535.8,2287.4,2838,2851.9,3072.4,1609.1,1472.8,1250.9,1045.7,875.2,748.7,1020.7,393.9,475.9,1104.8,1448.8,179,578.6,745.5,1016.9,672.7,2954.6,880.5,601,838.7,1220.8,1122.1,849.1,967.5,954.8,3719.7,720,1221.2,3184.5,1583,1401.205714
1992,2098.7,3068.8,2259.8,2221.4,2358.8,1414.6,1329.5,933,797.6,863.4,820.6,1108.1,429.7,478.2,1383.1,1478.1,425.8,723.6,754.2,1051.1,901.1,2840.4,791.3,726.6,1148.6,1156.6,1001,863.5,596,918.7,3882.2,668.3,1201,3239.5,1534.9,1356.222857
1993,2237.4,2520.5,2879.2,2881.7,2895.9,1759.7,1448,1204,1208.3,834,771.9,1594.1,523.8,583.1,1128.3,1243.8,293.5,595.2,1031.9,1118.9,941.4,3480.9,1019.8,806.3,1023,1205.3,869.7,885.6,887.1,1082.3,3481.3,731.8,1038.1,2717.7,1449.7,1439.234286
1994,3262.8,2274.9,2121.3,1712.5,2127.3,1530.8,1744.6,1579.4,969.4,910.2,806.8,1441.7,564.4,580.9,1410.2,1732.5,415.5,839.2,1179.5,1533.7,1534.5,3179.8,1021.5,583.8,1427.1,1754.5,1155.1,975.7,690.5,905.9,4636.3,643,1157.8,3410.8,1547.1,1524.6
1995,3115.4,3616.7,2886.1,2340.2,3557.8,1936,1614,1366.5,1111.9,860.5,826.8,1616.1,819.1,869.1,1493.9,1619.6,367.9,754.3,864.7,1032.3,684.3,2766,776.4,809.5,1077.5,1280.7,1352,1286,874.3,843.4,3357.8,662.3,883.2,2858.8,2030.9,1548.914286
1996,2996.9,2316.6,2466.9,2194.5,2800.3,1504,1061.8,1191.7,1107.2,1010.3,941.2,1401.4,644.6,589.7,1384.4,1620.4,307.9,715.7,1085.4,986.6,902.8,2920.7,975.2,855,855,1187,1210.9,986.8,1277.7,1069.4,3188.9,811.8,1044,2610,1606,1423.677143
1997,2755.1,,2372.2,2212,2551.4,1657.7,1504.5,1461.3,1303.7,493.3,445.2,803.4,668.6,690.1,1454.5,1295.9,345.1,573.9,1058.3,1357.1,1068.9,3027.2,1000.9,790.5,1039.3,1317.2,972.1,856,835,950.5,3953.6,1095.6,1180,3252.4,1764.7,1414.917647
1998,2846.4,,2803.1,2225.4,3655.1,1632.7,1357.1,1353.8,1332.5,661,867.2,1198.6,685.3,588.6,1381.6,1325.9,279.6,475.8,926.9,1013.4,1070,3234.7,1101.1,1126.7,1061.7,1332.5,1310.8,1093,948.1,1079.7,3707.9,852.5,1113.3,3151.5,1986.9,1493.541176
1999,2699.7,,2594.2,2233,3323.3,1957,1484.3,1586.9,1402.7,952.8,786.4,1185.5,344.4,364.4,1144.9,890.3,204.3,408.4,1052.7,1443.9,568.4,2912.1,965.7,767.6,1165.1,1322.6,825.1,863.8,537.2,922.6,3779.9,660.8,1149.6,2914.6,1857.3,1390.338235
2000,2763.2,,2487,2363.9,2908,1572.1,1097.2,1191.5,1207,946.8,771.4,1712.9,384.4,405.3,1068.4,984.6,235.3,440,NA,874.2,550.6,3133.2,701.6,684.4,1105.2,906.3,992.3,1078,871.3,972,3351.3,712.4,1207.2,2412.6,1372.1,1317.081818
